<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Overall Index,20100622,14287.70,14350.60,14287.70,14350.60,107310673
Overall Index,20100623,14375.90,14491.60,14375.90,14489.40,131502944
Overall Index,20100627,14494.50,14510.00,14488.90,14503.00,71865189
Overall Index,20100628,14510.20,14529.50,14500.90,14500.90,96794251
Overall Index,20100629,14503.30,14545.30,14484.60,14545.30,100238112
Overall Index,20100630,14554.00,14557.00,14549.00,14552.30,101106719
Overall Index,20100703,14552.30,14567.30,14546.20,14561.10,76513858
Overall Index,20100704,14563.80,14563.80,14504.20,14504.20,75402369
Overall Index,20100705,14504.10,14554.50,14503.60,14553.20,135870574
Overall Index,20100706,14560.00,14584.90,14560.00,14571.60,116527307
Overall Index,20100707,14585.80,14718.90,14585.80,14718.80,229959926
Overall Index,20100711,14743.20,14883.40,14743.20,14883.40,157735172
Overall Index,20100712,14922.50,14994.50,14922.50,14981.50,186618512
Overall Index,20100713,15014.20,15014.20,14998.90,15005.90,161137491
Overall Index,20100714,15051.90,15080.40,15051.90,15080.40,280464177
Overall Index,20100717,15082.40,15118.10,15081.40,15118.00,221550995
Overall Index,20100718,15138.50,15189.00,15138.50,15189.00,173240919
Overall Index,20100719,15197.00,15245.20,15197.00,15244.80,141083056
Overall Index,20100720,15275.50,15346.00,15275.50,15344.60,142312762
Overall Index,20100721,15355.70,15382.10,15346.90,15360.70,216035455
Overall Index,20100724,15382.10,15456.20,15382.10,15455.40,131212229
Overall Index,20100725,15501.10,15661.10,15501.10,15660.90,162182763
Overall Index,20100726,15705.40,15758.30,15705.40,15746.50,200942052
Overall Index,20100728,15751.10,15796.30,15746.70,15794.10,131213546
Overall Index,20100731,15820.90,15849.00,15820.90,15840.50,197464150
Overall Index,20100801,15844.60,15893.00,15843.50,15870.00,138090259
Overall Index,20100802,15923.20,16078.10,15923.20,16078.10,170244608
Overall Index,20100803,16152.90,16281.70,16149.10,16281.70,223494427
Overall Index,20100804,16335.30,16340.20,16317.80,16317.90,206577626
Overall Index,20100807,16338.00,16607.50,16338.00,16606.10,207915526
Overall Index,20100808,16625.20,16628.50,16585.00,16625.90,180649823
